Date,total_revenue,total_orders,total_customers,total_items,avg_order_value
2011-04-06,12698.32,37,36,8011,343.1978378378378
2011-04-07,16780.32,61,57,10063,275.0872131147541
2011-04-08,22673.91,65,63,12272,348.82938461538464
2011-04-10,9879.75,32,31,5603,308.7421875
2011-04-11,20179.7,59,54,13127,342.02881355932203
2011-04-12,23988.6,60,54,14577,399.81
2011-04-13,24450.27,60,54,18752,407.5045
2011-04-14,35682.73,82,75,18507,435.15524390243905
2011-04-15,17999.181,41,40,11088,439.00441463414637
2011-04-17,12630.34,42,39,8136,300.72238095238095
2011-04-18,43671.37,62,56,26219,704.376935483871
2011-04-19,18811.19,53,52,12902,354.92811320754714
2011-04-20,25715.8,62,58,17851,414.77096774193546
2011-04-21,27771.04,71,64,17075,391.14140845070426
2011-04-26,21536.86,59,55,14458,365.03152542372885
2011-04-27,23566.91,61,56,17658,386.3427868852459
2011-04-28,21312.18,55,49,13106,387.4941818181818
2011-05-01,6958.11,18,18,3814,386.56166666666667
2011-05-03,28877.21,59,50,11134,489.4442372881356
2011-05-04,27509.81,62,55,17359,443.70661290322585
2011-05-05,25191.79,82,76,16188,307.2169512195122
2011-05-06,30783.33,77,64,18285,399.78350649350654
2011-05-08,18731.98,63,58,10621,297.3330158730159
2011-05-09,21608.16,63,59,11679,342.9866666666667
2011-05-10,29807.25,70,63,16381,425.8178571428571
2011-05-11,31848.3,73,56,18422,436.2780821917808
2011-05-12,59827.74,84,68,37090,712.235
2011-05-13,25815.72,67,52,13265,385.3092537313433
2011-05-15,9667.15,30,29,4768,322.23833333333334
2011-05-16,35706.7,64,52,15135,557.9171875
2011-05-17,46361.090000000004,72,56,25164,643.9040277777779
2011-05-18,32775.69,71,62,18591,461.6294366197183
2011-05-19,31521.87,92,82,17160,342.62902173913045
2011-05-20,25351.44,69,58,15063,367.41217391304343
2011-05-22,24102.0,61,57,12645,395.11475409836066
2011-05-23,31232.53,64,55,17479,488.00828125
2011-05-24,32460.829999999998,62,53,14577,523.5617741935483
2011-05-25,21870.71,60,52,12435,364.5118333333333
2011-05-26,32764.38,61,50,16146,537.1209836065574
2011-05-27,21109.22,56,49,14828,376.9503571428572
2011-05-29,7338.94,24,20,4067,305.78916666666663
2011-05-31,18133.2,51,48,10568,355.5529411764706
2011-06-01,15380.39,37,35,9555,415.6862162162162
2011-06-02,28078.91,42,33,13703,668.5454761904762
2011-06-03,15024.11,41,37,7237,366.44170731707317
2011-06-05,25423.760000000002,67,62,13397,379.45910447761196
2011-06-06,16269.03,56,54,9139,290.5183928571429
2011-06-07,33807.85,71,68,17659,476.16690140845066
2011-06-08,30122.23,82,71,18809,367.3442682926829
2011-06-09,42862.8,82,76,27153,522.7170731707317
2011-06-10,58245.119999999995,44,41,9833,1323.7527272727273
2011-06-12,12397.09,38,38,9454,326.2392105263158
2011-06-13,19696.66,52,49,10653,378.7819230769231
2011-06-14,33324.49,52,42,12960,640.8555769230769
2011-06-15,44954.18,50,42,29446,899.0836
2011-06-16,32252.100000000002,81,74,19616,398.1740740740741
2011-06-17,19053.53,46,35,11345,414.20717391304345
2011-06-19,22421.48,60,57,15069,373.6913333333333
2011-06-20,26110.99,59,49,14865,442.5591525423729
2011-06-21,19827.91,48,45,13122,413.08145833333333
2011-06-22,21143.75,57,55,15269,370.9429824561403
2011-06-23,22469.62,69,64,13972,325.64666666666665
2011-06-24,16016.04,45,40,9063,355.91200000000003
2011-06-26,7032.36,26,24,3760,270.4753846153846
2011-06-27,13381.75,35,31,9151,382.3357142857143
2011-06-28,30470.88,49,41,20821,621.8546938775511
2011-06-29,12569.78,39,36,7468,322.3020512820513
2011-06-30,41709.24,65,55,20495,641.6806153846154
2011-07-01,12146.44,42,35,7433,289.2009523809524
2011-07-03,5972.7300000000005,25,24,3091,238.90920000000003
2011-07-04,30941.37,37,32,12056,836.2532432432432
2011-07-05,25988.510000000002,64,58,17631,406.07046875000003
2011-07-06,22934.22,66,61,17805,347.48818181818183
2011-07-07,27860.38,73,67,17638,381.6490410958904
2011-07-08,17538.5,46,42,10153,381.2717391304348
2011-07-10,5959.54,24,20,4204,248.31416666666667
2011-07-11,20008.83,48,43,14097,416.85062500000004
2011-07-12,17938.49,45,41,11537,398.63311111111113
2011-07-13,19411.52,56,50,15251,346.63428571428574
2011-07-14,31979.04,69,61,17049,463.46434782608696
2011-07-15,11814.7,37,34,6359,319.3162162162162
2011-07-17,16926.15,50,45,10809,338.523
2011-07-18,22001.63,46,45,12701,478.2963043478261
2011-07-19,46583.01,62,57,28400,751.338870967742
2011-07-20,27021.06,53,47,15341,509.831320754717
2011-07-21,30271.94,70,59,19533,432.4562857142857
2011-07-22,14628.880000000001,37,34,8325,395.37513513513517
2011-07-24,26777.92,57,53,17569,469.7880701754386
2011-07-25,19676.55,53,49,14271,371.2556603773585
2011-07-26,17284.301,46,44,12637,375.74567391304345
2011-07-27,22846.13,44,39,13224,519.2302272727273
2011-07-28,54171.95,78,68,29683,694.5121794871794
2011-07-29,17166.75,62,57,11165,276.883064516129
2011-07-31,33112.36,41,37,19398,807.6185365853659
2011-08-01,19778.12,39,35,11256,507.131282051282
2011-08-02,20272.0,41,39,14223,494.4390243902439
2011-08-03,26572.83,62,59,16125,428.59403225806454
2011-08-04,62074.19,79,76,40092,785.7492405063291
2011-08-05,19703.95,52,47,12162,378.9221153846154
2011-08-07,7541.91,29,28,5174,260.0658620689655
2011-08-08,19743.98,38,38,12430,519.5784210526316
2011-08-09,25949.920000000002,40,38,15821,648.748
2011-08-10,19853.41,43,42,12326,461.70720930232557
2011-08-11,54325.27,64,58,36444,848.83234375
2011-08-12,17970.170000000002,46,40,11049,390.6558695652174
2011-08-14,5701.87,25,21,3172,228.07479999999998
2011-08-15,17235.95,48,46,10173,359.08229166666666
2011-08-16,16072.710000000001,50,44,10461,321.4542
2011-08-17,48554.44,51,45,24794,952.047843137255
2011-08-18,54034.98,67,64,34016,806.4922388059701
2011-08-19,17326.07,55,54,10663,315.01945454545455
2011-08-21,14410.25,38,36,8075,379.2171052631579
2011-08-22,29617.26,63,57,15527,470.11523809523806
2011-08-23,22384.02,60,56,13698,373.067
2011-08-24,38371.37,72,59,27328,532.9356944444445
2011-08-25,22441.26,72,68,13151,311.68416666666667
2011-08-26,24095.49,44,41,16763,547.6247727272728
2011-08-28,10686.56,37,36,6701,288.82594594594593
2011-08-30,8805.17,23,23,4207,382.8334782608696
2011-08-31,20527.89,42,39,11542,488.7592857142857
2011-09-01,37358.62,76,69,27850,491.5607894736842
2011-09-02,30203.86,64,58,15375,471.9353125
2011-09-04,16930.43,49,45,10863,345.51897959183674
2011-09-05,35439.91,67,57,22266,528.953880597015
2011-09-06,25466.97,61,54,14451,417.4913114754099
2011-09-07,21967.420000000002,46,42,13731,477.5526086956522
2011-09-08,23048.38,72,63,15979,320.1163888888889
2011-09-09,25082.86,58,52,15989,432.4631034482759
2011-09-11,35206.92,75,68,20906,469.4256
2011-09-12,27777.36,67,62,16323,414.58746268656716
2011-09-13,48116.5,63,61,35000,763.7539682539683
2011-09-14,22013.75,65,58,13433,338.6730769230769
2011-09-15,71926.69,79,70,27638,910.4644303797469
2011-09-16,23245.03,46,44,14125,505.32673913043476
2011-09-18,15639.55,27,25,8937,579.2425925925926
2011-09-19,46588.21,69,63,29241,675.1914492753623
2011-09-20,103377.68,67,53,42599,1542.950447761194
2011-09-21,38472.1,67,65,19615,574.210447761194
2011-09-22,57734.98,111,94,32749,520.134954954955
2011-09-23,31753.75,58,56,19786,547.4784482758621
2011-09-25,31164.781,75,74,19424,415.53041333333334
2011-09-26,29265.511,65,62,15238,450.2386307692307
2011-09-27,29212.32,75,67,19505,389.4976
2011-09-28,39001.91,80,72,24026,487.52387500000003
2011-09-29,44671.27,103,93,26957,433.70165048543686
2011-09-30,40023.44,70,60,21646,571.7634285714286
2011-10-02,11479.98,34,32,8322,337.6464705882353
2011-10-03,62143.07,65,48,24553,956.0472307692307
2011-10-04,38532.090000000004,74,65,23016,520.7039189189189
2011-10-05,73975.56999999999,94,82,45854,786.9741489361701
2011-10-06,60258.53,116,98,34513,519.4700862068966
2011-10-07,49089.47,85,74,29636,577.5231764705883
2011-10-09,12215.51,38,35,7263,321.4607894736842
2011-10-10,42962.8,90,83,24990,477.3644444444445
2011-10-11,46401.14,78,69,26633,594.8864102564103
2011-10-12,27655.2,82,73,16151,337.25853658536585
2011-10-13,32850.25,74,67,17813,443.9222972972973
2011-10-14,32071.62,70,61,17189,458.166
2011-10-16,21767.94,35,32,8649,621.9411428571428
2011-10-17,46868.65,85,76,30056,551.3958823529412
2011-10-18,37248.16,77,73,26865,483.7423376623377
2011-10-19,37227.88,77,71,18185,483.478961038961
2011-10-20,60910.3,86,76,40833,708.2593023255814
2011-10-21,60364.01,62,56,24211,973.613064516129
2011-10-23,12156.57,42,39,6953,289.44214285714287
2011-10-24,38897.89,73,61,23661,532.8478082191781
2011-10-25,36113.86,72,65,25608,501.5813888888889
2011-10-26,34105.36,92,77,20101,370.71043478260873
2011-10-27,55747.200000000004,104,91,32418,536.0307692307692
2011-10-28,37194.58,65,60,22966,572.2243076923078
2011-10-30,34397.95,96,88,19943,358.3119791666666
2011-10-31,33006.87,63,61,15161,523.9185714285715
2011-11-01,29069.56,76,74,16530,382.4942105263158
2011-11-02,38536.44,83,79,26592,464.2944578313253
2011-11-03,60536.090000000004,100,86,33435,605.3609
2011-11-04,55716.47,87,73,33416,640.4191954022989
2011-11-06,42508.590000000004,101,88,23085,420.8771287128713
2011-11-07,28602.73,90,81,16358,317.8081111111111
2011-11-08,38151.91,99,95,21582,385.3728282828283
2011-11-09,61241.58,118,101,36888,518.9964406779661
2011-11-10,70373.03,125,112,37955,562.98424
2011-11-11,36932.07,93,87,23844,397.1190322580645
2011-11-13,28416.01,83,75,19610,342.3615662650602
2011-11-14,58595.22,104,93,32050,563.415576923077
2011-11-15,47535.51,104,93,26773,457.07221153846154
2011-11-16,48154.12,124,111,29010,388.33967741935487
2011-11-17,55683.49,136,125,30235,409.4374264705882
2011-11-18,36606.25,103,98,20224,355.4004854368932
2011-11-20,29642.39,98,91,18457,302.47336734693874
2011-11-21,45202.01,96,85,24494,470.8542708333334
2011-11-22,49438.55,130,120,31596,380.2965384615385
2011-11-23,71722.75,130,107,38287,551.7134615384615
2011-11-24,38359.69,109,98,22812,351.9237614678899
2011-11-25,26542.33,73,69,14142,363.59356164383564
2011-11-27,16969.25,56,51,10307,303.02232142857144
2011-11-28,51632.21,114,97,27932,452.9141228070175
2011-11-29,48640.57,126,109,25886,386.0362698412698
2011-11-30,41396.79,99,92,24423,418.149393939394
2011-12-01,44405.37,118,111,24810,376.31669491525423
2011-12-02,44526.1,114,95,25524,390.5798245614035
2011-12-04,20232.0,62,58,11321,326.3225806451613
2011-12-05,58081.090000000004,116,105,38347,500.699051724138
2011-12-06,45989.66,110,103,27736,418.0878181818182
2011-12-07,69230.6,104,94,41011,665.6788461538462
2011-12-08,50395.96,113,105,27476,445.98194690265484
2011-12-09,184329.66,41,35,90552,4495.845365853658
